OBJECTID,HUC_8,HUC_12,HU_8_NAME,HU_10_NAME,HU_12_NAME,county_10,countylsad,city_10,citylsda,,blank
42173,10230003,070600030702,Little Sioux,Sny Magill Creek-Mississippi River,Sandy Creek,Floyd,Floyd County,Royal,Royal city,, 
42182,10230004,070600030503,Monona-Harrison Ditch,Platte River,Bull Branch-Platte River,Davis,Davis County,Rossie,Rossie city,, 
42189,10230005,070600030402,Maple,Little Platte River,Upper Little Platte River,Clarke,Clarke County,Peterson,Peterson city,, 
42190,10230006,070600030301,Big Papillion-Mosquito,Lower Grant River,Rattlesnake Creek,Scott,Scott County,Greenville,Greenville city,, 
42199,10230007,070600030504,Boyer,Platte River,Willow Branch-Platte River,Mitchell,Mitchell County,Gillett Grove,Gillett Grove city,, 
42205,10240001,070600030202,Keg-Weeping Water,Middle Grant River,Pigeon Creek,Dallas,Dallas County,Fostoria,Fostoria city,, 
42206,10240002,070600030203,West Nishnabotna,Middle Grant River,Hackett Branch-Grant River,Palo Alto,Palo Alto County,Everly,Everly city,, 
42222,10240003,070600030401,East Nishnabotna,Little Platte River,Mounds Branch,Fremont,Fremont County,Dickens,Dickens city,, 
42226,10240004,070600030303,Nishnabotna,Lower Grant River,Grant River,Ringgold,Ringgold County,Wheatland,Wheatland city,, 
42230,10240005,070600030505,Tarkio-Wolf,Platte River,Culver Branch-Platte River,Butler,Butler County,Welton,Welton city,, 
42236,10240009,070600030302,West Nowaway,Lower Grant River,Boice Creek,Warren,Warren County,Toronto,Toronto city,, 
42238,10240010,070600030405,Nowaway,Little Platte River,Middle Little Platte River,Decatur,Decatur County,Low Moor,Low Moor city,, 
42246,10240012,070600050302,Platte,Galena River,Pats Creek-Galena River,Webster,Webster County,Lost Nation,Lost Nation city,, 
42257,10240013,070600030506,One Hundred and two,Platte River,Platte River,Mahaska,Mahaska County,Grand Mound,Grand Mound city,, 
42263,10280101,070600030404,Upper Grand,Little Platte River,Blockhouse Creek,Boone,Boone County,Goose Lake,Goose Lake city,, 
42273,10280102,070600050301,Thompson,Galena River,Madden Branch,Jasper,Jasper County,De Witt,De Witt city,, 
42282,10280103,070600030406,Lower Grand,Little Platte River,Lower Little Platte River,Page,Page County,Delmar,Delmar city,, 
42283,10280201,070600030403,Upper Chariton,Little Platte River,Snowden Branch,Ida,Ida County,Clinton,Clinton city,, 
42300,07060005,070600050303,Apple-Plum,Galena River,Shullsburg Branch,Adams,Adams County,Charlotte,Charlotte city,, 
42301,07080101,070600050304,Copperas-Duck,Galena River,Blacks Creek-Galena River,Delaware,Delaware County,Camanche,Camanche city,, 
