OBJECTID,HUC_8,HUC_12,HU_8_NAME,HU_10_NAME,HU_12_NAME,county_10,countylsad,city_10,citylsda,,blank
42238,10240010,071000061602,Nowaway,Little Platte River,Walnut Creek,Decatur,Decatur County,Low Moor,Low Moor city,, 
42246,10240012,070801050907,Platte,Galena River,Squaw Creek,Webster,Webster County,Lost Nation,Lost Nation city,, 
42257,10240013,070802040305,One Hundred and two,Platte River,Squaw Creek,Mahaska,Mahaska County,Grand Mound,Grand Mound city,, 
42263,10280101,070801060401,Upper Grand,Little Platte River,Buck Creek,Boone,Boone County,Goose Lake,Goose Lake city,, 
42273,10280102,070802051403,Thompson,Galena River,Mud Creek-Prairie Creek,Jasper,Jasper County,De Witt,De Witt city,, 
42282,10280103,070802051402,Lower Grand,Little Platte River,Village of Van Horne-Prairie Creek,Page,Page County,Delmar,Delmar city,, 
42283,10280201,070600060209,Upper Chariton,Little Platte River,Spring Branch,Ida,Ida County,Clinton,Clinton city,, 
42300,07060005,070802070602,Apple-Plum,Galena River,Upper South Fork Iowa River,Adams,Adams County,Charlotte,Charlotte city,, 
42301,07080101,070801041103,Copperas-Duck,Galena River,Berton Bay-Mississippi River,Delaware,Delaware County,Camanche,Camanche city,, 
42311,07100001,070801041101,Des Moines Headwaters,Galena River,Cottonwood Drain,Hardin,Hardin County,Calamus,Calamus city,, 
42325,10170202,070801070705,Upper Big Sioux,West Fork Apple River-Apple River,Troy Creek,Sioux,Sioux County,Andover,Andover city,,
46741,,070801070403, ,Copperas Creek,Burr Oak Creek,Union,Union County,Westphalia,Westphalia city,,
46743,,070801070502,,Headwaters Copperas Creek,Competine Creek,Mills,Mills County,Tennant,Tennant city,,
46748,,071000060605,,Cedar Creek,Lake Creek,Monona,Monona County,Shelby,Shelby city,,
46750,,070801050302,,Fall Creek-Henderson Creek,Drainage Ditch 192-Squaw Creek,Harrison,Harrison County,Webster City,Webster City city,,
46752,,070600060402,,Talbot Creek-Cedar Creek,Silver Creek,Lucas,Lucas County,Stanhope,Stanhope city,,
46753,,071000061201,,Headwaters Henderson Creek,Tank Pond,Emmet,Emmet County,Randall,Randall city,,
46754,,070802051502,,Middle Henderson Creek,Blue Creek,Polk,Polk County,Kamrar,Kamrar city,,
46756,,071000081306,,Duck Creek-Henderson Creek,Indian Creek-White Breast Creek,Buchanan,Buchanan County,Jewell Junction,Jewell Junction city,,
46757,,071000081001,,Glass Lake-Henderson Creek,South Otter Creek,Chickasaw,Chickasaw County,Ellsworth,Ellsworth city,,
46758,,070802051501,,Pennington Creek,East Branch Blue Creek,Des Moines,Des Moines County,Blairsburg,Blairsburg city,,
46759,,070802051001,,Headwaters North Henderson Creek,Rock Creek-Cedar River,Allamakee,Allamakee County,Stratford,Stratford city,,
46760,,070801050403,,Snake Creek-North Henderson Creek,Bear Creek,Cerro Gordo,Cerro Gordo County,Portsmouth,Portsmouth city,,
46763,,071000060401,,Bridger Cemetery-Pope Creek,Wall Lake Inlet,Fayette,Fayette County,Panama,Panama city,,
46764,,070802050905,,Headwaters Pope Creek,Miller Creek,Bremer,Bremer County,Kirkman,Kirkman city,,
46765,,070600060605,,Mad River-Pope Creek,070600060605,Tama,Tama County,Irwin,Irwin city,,
46766,,070801020806,,North Pope Creek,Dry Creek-Wapsipinicon River,Osceola,Osceola County,Harlan,Harlan city,,
46767,,071000090102,,Dugout Run-Pope Creek,English Creek,Henry,Henry County,Elk Horn,Elk Horn city,,
46814,,071000050205,,Goose Creek-South Edwards River,Drainage Ditch 1-Boone River,Poweshiek,Poweshiek County,Earling,Earling city,,
46815,,070802020605,,Town of Millersburg-Edwards River,Village of Greene-Shell Rock River,Hancock,Hancock County,Defiance,Defiance city,,
46816,,070801020303,,Skunk Creek-Edwards River,Lower East Branch Wapsipinicon River,Jones,Jones County,Springbrook,Springbrook city,,
46817,,071000030704,,Edwards River,Trulner Creek,Louisa,Louisa County,Spragueville,Spragueville city,,
46818,,070600040506,,Mud Creek-Edwards River,Grannis Creek-Volga River,Story,Story County,St. Donatus,St. Donatus city,,
46819,,070801030104,,Hillery Creek-Edwards River,White Oak Creek-Walnut Creek,Pottawattamie,Pottawattamie County,Sabula,Sabula city,,
46820,,070801030201,,Little Camp Creek-Camp Creek,Dutch Creek-Wapsipinicon River,Howard,Howard County,Preston,Preston city,,
46821,,071000050104,,North Camp Creek-Camp Creek,Drainage Ditch 18-Prairie Creek,Woodbury,Woodbury County,West Chester,West Chester city,,
46822,,071000030705,,Eliza Creek,Lotts Creek,Greene,Greene County,Wellman,Wellman city,,
