GRIDCODE,C_D,nodata,B_D,C,B,A,D,A_D,total
7015935,1.98192e+07,0,1.47415e+06,9.82769e+06,1.96554e+06,0,163795,0,3.32503e+07
7016491,2.03106e+07,0,1.47415e+06,1.68709e+07,2.62072e+06,0,163795,0,4.14401e+07
6946430,2.35865e+07,163795,3.73452e+07,0,2.30951e+07,3.93108e+06,163795,0,8.82854e+07
937100033,1.80174e+06,163795,0,1.47415e+06,0,0,6.87938e+06,0,1.03191e+07
4994619,7.60008e+07,1.80174e+06,1.44139e+07,1.19243e+08,0,0,1.68053e+08,0,3.79512e+08
4994581,6.55179e+06,0,0,1.31036e+06,0,0,5.89661e+06,0,1.37588e+07
17239450,8.68112e+06,0,0,9.3363e+06,163795,0,0,0,1.81812e+07
14620392,2.66986e+07,0,0,9.5001e+06,163795,0,0,0,3.63624e+07
14620326,1.42501e+07,0,0,6.388e+06,0,0,0,0,2.06381e+07
17239288,1.45777e+07,0,0,7.69836e+06,0,0,163795,0,2.24399e+07
17239286,1.96554e+06,0,0,2.78451e+06,0,0,0,0,4.75005e+06
17239722,1.80174e+06,0,0,6.71559e+06,0,0,0,0,8.51733e+06
14620046,2.62072e+06,0,0,1.31036e+06,163795,0,0,0,4.09487e+06
17239238,1.88364e+07,0,0,4.75005e+06,0,0,4.58625e+06,0,2.81727e+07
7243747,1.17932e+07,0,0,7.04318e+06,0,0,1.47415e+06,0,2.03106e+07
7244017,2.62072e+06,0,0,2.45692e+06,0,0,327590,0,5.40523e+06
14621122,8.18974e+06,0,0,655179,1.40864e+07,0,327590,0,2.32589e+07
7244003,9.00871e+06,0,163795,6.388e+06,1.80174e+06,163795,0,0,1.7526e+07
14619700,3.76728e+06,0,0,818974,4.09487e+06,0,818974,0,9.5001e+06
7243481,4.91384e+06,0,0,2.78451e+06,163795,0,163795,0,8.02594e+06
6587303,1.34312e+07,0,163795,0,2.62072e+06,0,163795,0,1.63795e+07
17234070,1.63795e+06,0,0,7.86215e+06,163795,0,0,0,9.66389e+06
17234148,655179,0,0,4.58625e+06,163795,0,0,0,5.40523e+06
17243620,0,0,0,0,1.29398e+07,0,0,0,1.29398e+07
17233876,1.31036e+06,0,0,3.43969e+06,0,0,0,0,4.75005e+06
17233982,1.47415e+06,0,0,7.53456e+06,0,0,0,0,9.00871e+06
17233952,491384,0,0,3.76728e+06,0,0,0,0,4.25866e+06
17233484,2.29313e+06,0,0,8.02594e+06,0,0,0,0,1.03191e+07
17234210,1.14656e+06,0,0,6.06041e+06,0,0,0,0,7.20697e+06
7226832,0,0,0,1.63795e+06,8.02594e+06,0,0,0,9.66389e+06
17240344,818974,0,0,982769,0,0,0,0,1.80174e+06
22248825,2.27675e+07,655179,163795,655179,8.51733e+06,0,0,0,3.2759e+07
22248825,2.27675e+07,655179,163795,655179,8.51733e+06,0,0,0,3.2759e+07
22248789,1.52329e+07,0,0,0,5.40523e+06,0,0,0,2.06381e+07
22248807,5.24143e+06,818974,163795,0,2.45692e+06,0,0,0,8.68112e+06
22249301,9.17251e+06,2.29313e+06,0,1.63795e+06,1.03191e+07,163795,0,0,2.35864e+07
6597362,6.87938e+06,3.93108e+06,0,3.1121e+06,8.35353e+06,1.47415e+06,0,0,2.37502e+07
6597320,5.40523e+06,3.2759e+06,0,1.80174e+06,6.06041e+06,0,0,0,1.65433e+07
6597738,9.7011e+09,2.48149e+08,8.38302e+08,1.07204e+09,3.81872e+09,2.78614e+08,6.97439e+08,5.70006e+07,1.67114e+10
6597362,6.87938e+06,3.93108e+06,0,3.1121e+06,8.35353e+06,1.47415e+06,0,0,2.37502e+07
6610066,9.99148e+06,2.45692e+06,0,0,5.89661e+06,0,0,0,1.8345e+07
6981344,6.388e+06,0,2.12933e+06,0,7.53456e+06,1.47415e+06,655179,0,1.81812e+07
22249295,1.85088e+07,0,491384,327590,5.24143e+06,0,0,0,2.45692e+07
22248767,4.42246e+06,0,0,0,818974,0,0,0,5.24143e+06
6981160,9.66389e+06,0,818974,0,7.53456e+06,1.96554e+06,0,0,1.9983e+07
6981256,3.1121e+06,0,0,818974,3.60349e+06,0,0,0,7.53456e+06
6597092,1.16294e+07,0,0,163795,8.18974e+06,0,0,0,1.9983e+07
17219024,0,163795,0,0,2.42416e+07,0,0,0,2.44054e+07
11917727,3.76728e+06,0,0,1.8345e+07,163795,0,2.12933e+06,0,2.44054e+07
6606338,1.42501e+07,0,818974,655179,9.00871e+06,0,1.63795e+06,0,2.6371e+07
17240248,1.80174e+06,0,0,4.25866e+06,0,0,0,0,6.06041e+06
17240252,1.14656e+07,163795,0,1.1138e+07,0,0,655179,0,2.34227e+07
17240064,8.51733e+06,0,0,2.44054e+07,163795,0,163795,0,3.32503e+07
7226516,1.17932e+07,0,0,2.37502e+07,1.31036e+06,0,0,0,3.68538e+07
17239024,7.69836e+06,0,0,1.21208e+07,0,0,163795,0,1.9983e+07
17238990,9.99148e+06,0,0,1.80174e+07,0,0,0,0,2.80089e+07
7225690,9.3363e+06,163795,0,1.50691e+07,0,0,0,0,2.45692e+07
6979056,5.5854e+07,327590,5.89661e+06,2.29313e+06,3.65262e+07,327590,0,0,1.01225e+08
6980568,2.29313e+06,0,327590,163795,4.09487e+06,163795,163795,0,7.20697e+06
6979038,1.14656e+07,0,655179,327590,9.3363e+06,0,0,0,2.17847e+07
6978872,5.43799e+07,163795,1.09743e+07,1.47415e+06,3.96383e+07,491384,0,0,1.07122e+08
6978980,3.2759e+07,0,3.43969e+06,1.31036e+06,1.81812e+07,163795,0,0,5.5854e+07
6978826,2.66986e+07,0,3.2759e+06,3.76728e+06,2.91555e+07,982769,0,0,6.388e+07
6978722,3.9147e+07,0,1.80174e+06,8.18974e+06,1.70347e+07,982769,1.21208e+07,0,7.92767e+07
6978824,5.24143e+07,0,2.62072e+06,1.03191e+07,2.85003e+07,1.14656e+06,1.21208e+07,0,1.07122e+08
6978824,5.24143e+07,0,2.62072e+06,1.03191e+07,2.85003e+07,1.14656e+06,1.21208e+07,0,1.07122e+08
17542255,6.06041e+06,0,0,1.62157e+07,0,0,1.63795e+06,0,2.3914e+07
5135663,2.83365e+07,6.388e+06,0,7.60008e+07,8.02595e+06,163795,2.93193e+07,0,1.48234e+08
4997469,5.07764e+06,0,0,2.45692e+06,0,0,1.44139e+07,0,2.19485e+07
4999325,327590,0,0,5.07764e+06,655179,0,6.06041e+06,0,1.21208e+07
4994829,2.12933e+06,0,0,4.09487e+06,491384,0,6.71559e+06,0,1.34312e+07
4995021,2.78451e+06,818974,0,8.51733e+06,1.96554e+06,0,2.19485e+07,0,3.60349e+07
22252297,6.2242e+06,163795,0,3.43969e+06,491384,0,6.71559e+06,0,1.70347e+07
22253933,5.40523e+06,491384,0,5.89661e+06,327590,0,5.73282e+06,0,1.78536e+07
22251067,3.43969e+06,491384,0,8.68112e+06,0,0,6.388e+06,0,1.90002e+07
22254255,2.01467e+08,3.84918e+07,818974,6.09972e+08,1.80174e+07,1.21208e+07,1.71984e+08,0,1.05287e+09
11918837,1.85088e+07,0,0,1.65433e+07,0,0,982769,0,3.60349e+07
7002298,2.24399e+07,0,327590,1.94916e+07,0,0,1.34312e+07,0,5.56902e+07
7002296,1.08105e+07,163795,0,1.44139e+07,0,0,3.2759e+06,0,2.86641e+07
5964304,0,0,0,1.63795e+06,0,0,6.2242e+06,0,7.86215e+06
5137231,327590,0,0,6.388e+06,0,0,1.44139e+07,0,2.11295e+07
5123886,818974,491384,163795,6.388e+06,0,0,1.2776e+07,0,2.06381e+07
5124112,0,0,0,163795,0,0,2.3914e+07,0,2.40778e+07
5124018,1.47415e+06,655179,0,5.40523e+06,0,0,2.11295e+07,0,2.86641e+07
5123858,163795,0,163795,3.43969e+06,0,0,7.69836e+06,0,1.14656e+07
5124368,0,0,327590,3.43969e+06,0,0,1.40864e+07,0,1.78536e+07
6594246,3.93108e+07,655179,491384,2.45692e+06,1.13018e+07,0,0,163795,5.43799e+07
6590838,8.3044e+07,982769,1.26122e+07,3.93107e+06,6.09317e+07,2.62072e+06,1.53967e+07,2.62072e+06,1.8214e+08
13308803,163795,0,163795,8.02594e+06,1.14656e+06,0,163795,0,9.66389e+06
13308875,327590,0,655179,1.63795e+07,2.62072e+06,0,655179,0,2.06381e+07
13310169,982769,0,0,2.94831e+06,655179,0,0,0,4.58625e+06
13337328,2.12933e+06,0,982769,3.0302e+07,5.24143e+06,0,0,0,3.86556e+07
13337132,327590,0,327590,9.17251e+06,0,0,327590,0,1.01553e+07
13337050,163795,0,491384,2.62072e+06,2.12933e+06,0,163795,0,5.56902e+06
13336628,1.47415e+06,0,3.43969e+06,3.47245e+07,2.12933e+06,327590,491384,0,4.25866e+07
13336336,1.14656e+06,0,1.47415e+06,1.9164e+07,491384,0,982769,0,2.32589e+07
17226697,163795,0,0,8.68112e+06,1.32674e+07,0,0,0,2.21123e+07
14623168,1.31036e+06,0,0,1.76898e+07,1.31036e+06,0,0,0,2.03106e+07
17233534,4.09487e+06,0,0,2.09657e+07,1.3595e+07,0,0,0,3.86556e+07
17233532,1.47415e+06,0,0,1.40864e+07,1.17932e+07,0,0,0,2.73537e+07
7016653,1.9164e+07,0,982769,0,4.91384e+06,491384,0,0,2.5552e+07
7016673,3.27098e+08,0,6.04403e+07,5.56902e+06,4.16039e+07,1.62157e+07,9.3363e+06,3.2759e+06,4.63539e+08
6947944,3.93108e+06,0,1.14656e+06,1.63795e+06,1.31036e+06,0,0,0,8.02594e+06
13210220,0,0,0,3.60349e+06,655179,491384,2.62072e+06,0,7.37077e+06
17538679,3.43969e+06,0,0,1.06467e+07,0,0,0,0,1.40864e+07
13373065,1.31036e+06,0,491384,7.37077e+06,7.04318e+06,818974,163795,0,1.71985e+07
4994961,4.25866e+06,163795,163795,2.29313e+06,0,0,1.06467e+07,0,1.7526e+07
5120872,2.94831e+06,327590,0,1.96554e+06,0,0,6.2242e+06,0,1.14656e+07
5124454,1.47415e+06,0,0,3.93108e+06,0,0,4.20953e+07,0,4.75005e+07
7242423,5.07764e+06,0,0,9.5001e+06,0,0,163795,0,1.47415e+07
11915629,2.78451e+06,491384,327590,7.86215e+06,655179,0,0,0,1.21208e+07
17239816,7.04318e+06,163795,163795,1.73622e+07,0,0,0,0,2.4733e+07
940230074,2.94831e+06,0,0,8.02594e+06,0,0,0,0,1.09743e+07
13372067,1.14656e+06,0,818974,2.12933e+06,2.45692e+06,0,0,0,6.55179e+06
7242697,1.96554e+06,0,0,1.76898e+07,0,0,0,0,1.96554e+07
14620086,9.63114e+07,7.10869e+07,2.78451e+06,1.98192e+07,1.14984e+08,8.02595e+06,5.40523e+06,0,3.18417e+08
6597550,,,,,,,,,
6979044,1.81812e+07,0,982769,1.31036e+06,1.50691e+07,0,0,0,3.55435e+07
11916245,1.31036e+06,0,0,8.35353e+06,0,0,0,0,9.66389e+06
22477695,5.8711e+09,2.8664e+08,2.00994e+09,2.9706e+09,3.76238e+09,8.91534e+08,3.13012e+08,1.34967e+08,1.62402e+10
22477379,5.86455e+09,2.79925e+08,2.00945e+09,2.96011e+09,3.75649e+09,8.9006e+08,3.13012e+08,1.34967e+08,1.62086e+10
6610078,4.09487e+06,1.63795e+06,0,4.09487e+06,1.1138e+07,163795,0,0,2.11295e+07
937080094,4.56332e+08,2.96469e+07,1.01553e+08,2.1195e+08,3.08098e+08,3.86556e+07,1.03846e+08,5.7492e+07,1.30757e+09
6609800,5.71644e+07,3.76728e+06,982769,2.94831e+06,7.46904e+07,327590,0,0,1.39881e+08
6948638,6.71559e+06,0,1.96554e+06,982769,3.93108e+06,327590,0,0,1.39226e+07
7017239,1.80174e+06,327590,3.2759e+06,1.14656e+06,5.56902e+06,0,163795,0,1.22846e+07
7017239,1.80174e+06,327590,3.2759e+06,1.14656e+06,5.56902e+06,0,163795,0,1.22846e+07
22253349,2.12933e+06,0,0,5.40523e+06,818974,0,8.02594e+06,0,1.63795e+07
6947636,3.2759e+06,163795,1.63795e+06,0,2.29313e+06,655179,163795,0,8.18974e+06
6980800,3.70176e+07,163795,7.86215e+06,5.56902e+06,2.3914e+07,1.14656e+06,1.63795e+06,163795,7.74749e+07
22249099,1.31036e+06,2.62072e+06,0,1.09743e+07,0,0,163795,0,1.50691e+07
17539115,982769,163795,0,2.29313e+06,0,0,0,0,3.43969e+06
7225392,1.14656e+06,163795,0,9.5001e+06,0,0,0,0,1.08105e+07
22474521,5.73282e+06,982769,0,1.31036e+06,4.58625e+06,0,0,0,1.26122e+07
11916245,1.31036e+06,0,0,8.35353e+06,0,0,0,0,9.66389e+06
22471767,1.14656e+06,0,163795,2.12933e+06,818974,163795,0,0,4.42246e+06
6610078,4.09487e+06,1.63795e+06,0,4.09487e+06,1.1138e+07,163795,0,0,2.11295e+07
5000831,3.76728e+06,0,0,655179,0,0,5.24143e+06,0,9.66389e+06
22474307,1.63795e+06,1.31036e+06,0,982769,2.78451e+06,327590,0,0,7.04318e+06
6609766,1.03191e+07,4.25866e+06,0,0,9.66389e+06,0,0,0,2.42416e+07
2527015,4.58625e+06,0,0,6.2242e+06,0,0,1.47415e+06,0,1.22846e+07
13357294,0,491384,0,1.80174e+06,655179,0,327590,0,3.2759e+06
6609862,2.62072e+06,327590,0,655179,5.56902e+06,163795,0,0,9.3363e+06
6609864,3.2759e+06,655179,0,3.43969e+06,6.388e+06,163795,0,0,1.39226e+07
22474137,6.87938e+06,2.78451e+06,0,818974,9.99148e+06,0,163795,0,2.06381e+07
14803911,327590,0,0,2.45692e+06,0,0,0,0,2.78451e+06
22476809,4.66014e+09,1.90657e+08,1.71003e+09,1.83615e+09,3.14995e+09,5.80817e+08,2.90244e+08,1.31691e+08,1.25497e+10
22476809,4.66014e+09,1.90657e+08,1.71003e+09,1.83615e+09,3.14995e+09,5.80817e+08,2.90244e+08,1.31691e+08,1.25497e+10
22476809,4.66014e+09,1.90657e+08,1.71003e+09,1.83615e+09,3.14995e+09,5.80817e+08,2.90244e+08,1.31691e+08,1.25497e+10
22248781,1.88364e+07,0,163795,491384,2.94831e+06,0,0,0,2.24399e+07
11916245,1.31036e+06,0,0,8.35353e+06,0,0,0,0,9.66389e+06
22474117,9.82769e+06,0,4.42246e+06,0,1.17932e+07,5.89661e+06,0,0,3.194e+07
22472037,163795,0,0,0,163795,0,0,0,327590
22472121,818974,0,327590,327590,1.14656e+06,0,0,0,2.62072e+06
17554959,2.12933e+06,0,818974,1.31036e+06,1.63795e+06,491384,0,0,6.388e+06
17219024,0,163795,0,0,2.42416e+07,0,0,0,2.44054e+07
17243984,0,4.42246e+06,0,0,5.79834e+07,0,0,0,6.24058e+07
17554919,6.55179e+06,0,163795,3.43969e+06,5.89661e+06,163795,0,0,1.62157e+07
17219344,0,0,0,0,3.93108e+06,0,0,0,3.93108e+06
11916317,2.78451e+06,491384,327590,7.86215e+06,655179,0,0,0,1.21208e+07
6609898,1.47415e+06,327590,0,655179,3.2759e+06,163795,0,0,5.89661e+06
6609898,1.47415e+06,327590,0,655179,3.2759e+06,163795,0,0,5.89661e+06
6609906,491384,163795,0,2.78451e+06,163795,0,0,0,3.60349e+06
6609916,4.91384e+06,2.94831e+06,0,6.388e+06,1.13018e+07,163795,0,0,2.57158e+07
6597756,1.2776e+07,163795,0,1.14656e+06,1.08105e+07,327590,0,0,2.52244e+07
13357540,327590,982769,0,2.78451e+06,1.31036e+06,0,0,0,5.40523e+06
6597380,982769,982769,0,0,5.07764e+06,0,0,0,7.04318e+06
22471939,2.29313e+06,0,163795,0,1.80174e+06,0,0,0,4.25866e+06
22474253,5.40523e+06,2.62072e+06,0,491384,7.53456e+06,0,163795,0,1.62157e+07
14804053,491384,491384,0,6.388e+06,327590,0,0,0,7.69836e+06
22472057,7.04318e+06,2.78451e+06,0,818974,1.06467e+07,0,163795,0,2.14571e+07
22472017,8.02594e+06,3.1121e+06,0,1.47415e+06,1.17932e+07,0,163795,0,2.45692e+07
22471971,1.71985e+07,3.43969e+06,1.63795e+06,3.2759e+06,2.70261e+07,327590,655179,0,5.35609e+07
17554985,6.71559e+06,818974,1.31036e+06,4.42246e+06,3.1121e+06,1.31036e+06,0,0,1.76898e+07
6965643,1.26122e+07,818974,163795,1.14656e+07,655179,1.14656e+06,327590,0,2.71899e+07
13336456,1.14656e+06,0,1.14656e+06,1.78536e+07,163795,0,163795,0,2.04743e+07
2165785,1.39226e+07,655179,1.22846e+07,1.63795e+06,1.81812e+07,327590,0,0,4.70091e+07
17227223,0,327590,0,0,5.73282e+06,0,0,0,6.06041e+06
17227199,0,0,0,0,6.2242e+06,0,0,0,6.2242e+06
17227143,163795,0,0,655179,1.98192e+07,0,818974,0,2.14571e+07
13210220,0,0,0,3.60349e+06,655179,491384,2.62072e+06,0,7.37077e+06
11916815,3.60349e+06,327590,0,1.17932e+07,0,0,163795,0,1.58881e+07
6597512,3.1121e+06,491384,163795,0,6.388e+06,163795,0,0,1.03191e+07
13311841,4.32091e+08,7.27249e+07,3.51504e+08,7.45922e+08,5.78033e+08,1.00406e+08,6.92852e+07,2.29313e+06,2.35226e+09
22474317,982769,163795,327590,2.29313e+06,491384,163795,0,0,4.42246e+06
22474329,6.55179e+06,0,5.89661e+06,2.62072e+06,3.43969e+06,2.12933e+06,327590,0,2.09657e+07
22475083,3.60349e+06,0,2.78451e+06,0,6.87938e+06,818974,163795,0,1.42501e+07
22474801,3.60349e+06,0,818974,2.29313e+06,1.47415e+06,0,163795,0,8.35353e+06
11915477,5.40523e+06,327590,0,1.73622e+07,1.96554e+06,982769,0,0,2.60434e+07
11915341,7.37077e+06,0,0,1.9983e+07,0,0,818974,0,2.81727e+07
11915285,8.18974e+06,0,0,1.68709e+07,0,1.14656e+06,0,0,2.62072e+07
22474253,5.40523e+06,2.62072e+06,0,491384,7.53456e+06,0,163795,0,1.62157e+07
14620356,2.62072e+06,0,0,1.63795e+06,0,0,0,0,4.25866e+06
19207485,327590,0,0,2.78451e+07,327590,0,0,0,2.85003e+07
17207980,0,0,0,0,2.62072e+06,0,0,0,2.62072e+06
13373425,0,163795,0,1.22846e+07,2.12933e+06,0,655179,0,1.52329e+07
14620386,2.5552e+07,0,0,1.01553e+07,982769,2.29313e+06,5.56902e+06,0,4.45522e+07
6609842,163795,327590,0,818974,4.75005e+06,0,0,0,6.06041e+06
13375337,7.53456e+06,0,0,9.5001e+06,491384,163795,0,0,1.76898e+07
11919635,1.63795e+07,0,0,6.388e+06,0,0,1.14656e+06,0,2.3914e+07
7016421,3.60349e+06,0,5.40523e+06,0,6.71559e+06,163795,0,0,1.58881e+07
22250381,6.388e+06,1.63795e+06,0,3.45607e+07,1.47415e+06,982769,1.3595e+07,0,5.86385e+07
7017243,3.84918e+07,655179,7.86215e+06,2.94831e+06,4.25866e+06,2.45692e+06,0,0,5.6673e+07
7017253,4.27504e+07,655179,9.00871e+06,3.76728e+06,4.42246e+06,2.45692e+06,0,0,6.3061e+07
7017043,4.91384e+06,491384,3.2759e+06,818974,5.56902e+06,491384,491384,0,1.60519e+07
22477241,2.94831e+06,491384,0,2.45692e+06,163795,0,0,0,6.06041e+06
14624732,491384,327590,0,2.94831e+06,1.3595e+07,0,0,0,1.73622e+07
6948704,2.94831e+07,327590,1.31036e+06,0,1.14656e+06,1.14656e+06,0,0,3.34141e+07
13377411,2.45692e+06,0,0,5.40523e+06,163795,0,0,0,8.02594e+06
7016973,2.12933e+06,327590,3.76728e+06,327590,4.42246e+06,0,0,0,1.09743e+07
17239296,4.58625e+06,0,0,1.09743e+07,0,0,0,0,1.55605e+07
17239840,3.35288e+08,5.73282e+06,9.17251e+06,4.39298e+08,1.53967e+07,0,1.63795e+07,0,8.21267e+08
7243863,4.58625e+06,0,0,5.07764e+06,0,0,655179,0,1.03191e+07
7243747,1.17932e+07,0,0,7.04318e+06,0,0,1.47415e+06,0,2.03106e+07
17239842,3.76728e+06,0,0,1.26122e+07,327590,0,0,0,1.67071e+07
6595946,7.86215e+06,0,0,6.2242e+06,491384,327590,3.57073e+07,327590,5.09402e+07
14619108,,,,,,,,,
6620244,6.2242e+06,327590,0,4.42246e+06,9.17251e+06,163795,327590,0,2.06381e+07
6620244,6.2242e+06,327590,0,4.42246e+06,9.17251e+06,163795,327590,0,2.06381e+07
17538293,4.42246e+06,0,0,1.60519e+07,327590,0,0,0,2.08019e+07
14794859,3.2759e+06,818974,0,8.68112e+06,3.76728e+06,2.45692e+06,0,0,1.90002e+07
6950710,9.3363e+06,0,1.47415e+06,327590,1.34312e+07,982769,0,0,2.5552e+07
7005810,2.80089e+07,163795,0,1.16294e+07,0,0,4.25866e+06,0,4.40608e+07
7005950,3.30866e+07,655179,0,1.94916e+07,982769,0,5.07764e+06,0,5.92937e+07
