GRIDCODE,C_D,nodata,B_D,C,B,A,D,A_D,total
14620452,1.49053e+07,0,0,2.45692e+06,4.42246e+06,2.62072e+06,0,0,2.44054e+07
14620336,2.68623e+08,7.33801e+07,2.11295e+07,2.98107e+07,1.90002e+08,1.1957e+07,8.68112e+06,0,6.03584e+08
13312119,0,163795,655179,8.68112e+06,982769,0,1.47415e+06,0,1.1957e+07
13313203,163795,0,327590,5.56902e+06,1.14656e+06,0,327590,0,7.53456e+06
13309087,0,0,1.31036e+06,8.35353e+06,655179,0,0,0,1.03191e+07
14795507,1.24484e+07,327590,2.94831e+06,8.02594e+06,2.29313e+06,5.40523e+06,0,818974,3.22676e+07
14795673,6.55179e+06,0,163795,7.53456e+06,163795,327590,0,0,1.47415e+07
13378181,2.29313e+06,0,0,6.2242e+06,0,0,0,0,8.51733e+06
4999903,4.58625e+06,163795,0,1.06467e+07,5.73282e+06,0,2.48968e+07,0,4.60263e+07
6950336,2.78451e+06,0,491384,0,3.1121e+06,0,0,0,6.388e+06
6950328,982769,0,0,0,2.45692e+06,0,0,0,3.43969e+06
6950210,7.86215e+06,0,1.14656e+06,2.45692e+06,6.87938e+06,1.47415e+06,655179,0,2.04744e+07
13376447,6.06041e+06,0,1.14656e+06,2.45692e+06,8.18974e+06,4.75005e+06,1.63795e+06,0,2.42416e+07
13372423,6.06041e+06,0,1.47415e+06,4.25866e+06,3.1121e+06,655179,0,0,1.55605e+07
13372847,3.93108e+06,163795,1.31036e+06,5.07764e+06,4.42246e+06,1.31036e+06,163795,0,1.63795e+07
6964863,2.4733e+07,1.47415e+06,2.12933e+06,2.71899e+07,2.29313e+06,982769,982769,0,5.97851e+07
7005724,4.09487e+06,0,0,327590,0,0,0,0,4.42246e+06
7003204,3.43969e+06,0,0,2.94831e+06,0,0,0,0,6.388e+06
7003216,7.04318e+06,0,0,6.2242e+06,0,0,327590,0,1.3595e+07
13373197,0,0,655179,1.17932e+07,491384,0,491384,0,1.34312e+07
13372829,1.1957e+07,0,7.37077e+06,982769,1.17932e+07,0,491384,0,3.25952e+07
13372039,7.04318e+06,491384,7.04318e+06,1.47415e+06,1.04829e+07,1.47415e+06,1.63795e+06,0,2.96469e+07
13372107,1.80174e+07,0,9.99148e+06,5.07764e+06,1.17932e+07,2.62072e+06,327590,0,4.78281e+07
6947598,9.5001e+06,0,5.89661e+06,818974,1.47415e+07,1.80174e+06,327590,0,3.30865e+07
6947610,1.31036e+07,0,7.86215e+06,982769,1.96554e+07,3.43969e+06,327590,0,4.53712e+07
