comid,rusle_sum,rusle_majority,rusle_mean,counts
17539199,3.85833e+06,2490,2534.04,27021
17539311,1.76027e+06,154,197.736,26181
17538155,1.40703e+06,397,501.782,23993
7015675,864137,74,92.7521,25615
4994973,281713,169,244.949,13040
19166523,2.78786e+06,3438,1907.42,18416
14620388,486084,69,83.6414,19082
14621726,506627,46,81.7294,11960
14621740,658255,99,78.1728,15176
14620826,498908,156,151.194,9870
7243815,556628,82,78.0427,21201
19167073,2.2725e+06,837,772.011,19581
17239962,4.6427e+06,452,215.969,21497
17233716,1.99704e+06,560,489.569,39201
22248781,622442,43,73.2895,24895
6597312,271991,3,61.4634,14286
6597270,1.24542e+06,22,59.6991,41001
22249293,508853,21,30.663,16595
22248825,1.15006e+06,124,152.085,36661
17218398,8.79332e+06,3538,3449.73,40282
17219024,3.96498e+06,235,1162.15,27328
19208055,1.68816e+06,161,356.412,13833
19208091,4.00971e+06,870,1289.27,28562
17543477,3.22576e+06,975,712.082,20771
11917353,1.26808e+06,868,951.999,11998
11916761,1.3126e+06,519,525.009,15394
5103900,806830,14,107.224,12613
2528217,201072,36,104.507,1924
14804137,1.44355e+06,850,1173.56,25936
14803787,1.2119e+06,100,172.445,21193
14803753,162678,74,56.4071,2884
14803841,2.61514e+06,753,845.535,34037
14803821,3.36179e+06,766,971.414,26588
14803819,1.76269e+06,730,900.498,9147
7309893,6.80143e+06,2394,1624.75,37410
19207481,6.21432e+06,2104,1239.71,34907
17238880,727479,73,42.6124,17072
17238874,552321,212,165.112,17328
17239820,2.21567e+06,73,66.4948,33321
17240102,1.65538e+07,7389,6121.16,360756
17240202,1.50946e+06,578,382.714,41490
6979044,1.39994e+06,269,550.259,39770
6979036,2.901e+06,189,331.506,78299
6980772,2.34007e+06,251,508.908,64207
6980656,2.07191e+06,188,459.338,52449
17543703,4.16723e+08,105358,120006,6.38218e+06
17539225,1.308e+06,280,274.877,10034
22475363,1.34612e+06,360,364.974,19426
22476055,598523,172,198.813,16314
22476181,841621,719,746.32,7622
17541213,2.91368e+06,1174,1519.05,20206
17541373,251503,25,82.1368,3062
3722649,116792,10,64.7406,1804
2526989,231773,2,28.7417,8064
4994409,1.6013e+06,697,513.863,18602
22252021,1.7709e+06,140,442.031,27887
11919635,1.21598e+06,27,45.8171,26540
7002558,1.43021e+06,201,401.174,16453
7003568,1.23746e+06,81,162.356,21911
7002376,1.70286e+06,109,369.08,21075
5123862,914266,333,384.65,17091
6594380,1.08166e+06,60,47.7071,22673
13337818,1.18528e+06,131,257.283,25727
17227367,1.57794e+07,7950,5348.39,70425
17226917,1.98138e+06,585,850.331,9273
6566467,887262,275,259.109,22909
6566175,905670,118,121.442,26863
6559823,1.29976e+06,124,136.404,25952
7016691,508814,75,97.1203,15899
5135009,2.39904e+06,1438,1295.03,20628
19126067,2.29331e+06,1257,1260.68,13772
22249665,5.6134e+06,2927,3076.7,28150
19165329,3.17466e+06,3100,1592.88,21964
2527029,2.4921e+06,1028,659.191,26224
13210858,4.8286e+06,17,263.507,65438
13211528,1.3446e+06,234,117.33,11460
13210820,3.51136e+06,760,1120.35,29870
13210834,3.85384e+06,778,1311.02,33457
13211470,292889,2,38.3614,7635
13210606,4.6107e+06,420,562.827,56041
13210820,3.51136e+06,760,1120.35,29870
13211496,4.63439e+06,4,149.588,61962
13210264,358290,170,185.205,5840
13210348,1.44038e+06,402,580.805,17751
13210348,1.44038e+06,402,580.805,17751
13210404,2.3884e+06,735,592.203,26853
13210422,1.26966e+06,489,375.407,16676
13336410,567146,256,394.923,10937
13337268,1.59479e+06,51,378.048,20457
5121596,417912,50,163.996,19319
5798354,848541,32,153.517,16762
5000115,307274,43,72.4767,11380
22473617,761257,216,283.424,8057
22475935,883916,222,354.808,11570
22475289,984494,504,459.35,15091
22474323,1.44718e+06,423,299.32,41220
22474399,1.54642e+06,425,338.381,46148
22476839,5.72713e+08,111258,134452,1.41396e+07
22476841,635178,82,107.258,15812
22474701,941725,347,383.445,16289
22471901,511313,180,132.194,11484
22471847,1.19728e+06,466,424.011,26497
22471921,797594,300,202.15,19536
22471901,511313,180,132.194,11484
22471997,1.26626e+06,356,257.257,28876
6949112,1.14745e+06,133,131.509,37535
7017273,374838,1,48.6171,7710
22472915,808313,169,140.536,18683
6950096,612862,345,336.817,12129
6947936,558279,194,191.773,11897
13372289,610329,270,272.883,11176
13372331,588006,199,184.168,12938
13372415,428845,145,144.338,8942
17225249,136171,177,77.0634,1767
6606248,818266,236,312.479,19503
6606390,1.3478e+06,511,557.426,31917
2165295,801473,386,327.551,17416
22471685,689201,240,212.675,15579
6560899,830503,1,45.6898,18177
6560947,882280,241,300.192,20594
6619732,2.39021e+07,10230,7662.88,180227
17556395,1.53121e+06,74,122.624,12487
6561405,730874,131,210.594,20985
6561439,522343,204,282.229,14177
6561437,923129,244,287.023,27768
6561449,1.70958e+06,501,660.411,49750
2165699,530529,104,144.201,14903
2166249,5.95119e+06,809,1218.71,117470
6560079,599466,78,88.9745,19533
2164527,1.32062e+06,156,212.008,36780
2164559,2.03751e+06,358,407.6,55558
2164563,2.17454e+06,385,463.483,59292
2164521,5.33164e+06,602,1134.3,95393
6566287,6.13905e+06,106,319.03,165354
6566317,8.51212e+06,541,967.159,221434
6566533,2.75972e+06,159,279.485,66422
6566231,1.85441e+06,107,206.567,40665
14622988,1.31486e+06,1455,898.62,11866
14622840,467473,422,285.456,4850
14623026,2.9703e+06,1244,878.588,31849
14623062,3.51628e+06,1714,1130.51,38004
14622566,1.15304e+06,762,518.383,21507
14622562,893167,484,346.157,16668
14623406,2.63599e+06,988,695.215,47396
14622616,2.45661e+06,760,655.624,38057
17233702,1.17163e+06,426,333.291,25983
17233702,1.17163e+06,426,333.291,25983
17234216,1.56089e+06,305,231.284,28271
17233846,5.01128e+06,2269,1863.76,95795
6948330,832413,483,486.071,17367
6946978,225588,23,37.3181,6045
6946980,507419,98,110.755,15698
13310147,889637,213,278.239,18559
13309993,687835,104,247.146,13755
22253201,2.51845e+06,284,566.15,32823
14621764,2.7781e+06,175,161.229,71293
14620956,1.62613e+06,88,244.043,45318
14620452,735533,82,69.4275,26820
14620336,2.17943e+07,1124,2402.14,670550
13312119,2.0957e+06,51,582.363,13168
13313203,738634,11,84.9297,8697
13309087,2.0085e+06,768,465.374,12327
14795507,2.77729e+06,224,761.429,35116
14795673,1.34348e+06,181,260.852,16421
13378181,2.38448e+06,833,751.996,9293
4999903,1.2609e+06,230,598.106,51317
6950336,276180,161,126.948,6528
6950328,142400,136,113.343,3805
6950210,1.01209e+06,444,549.785,22505
13376447,1.34079e+06,202,373.107,27241
13372423,1.56579e+06,149,314.378,16820
13372847,2.45311e+06,531,471.491,18028
6964863,1.79927e+06,578,629.37,66008
7005724,163501,48,36.4551,4485
7003204,471175,127,138.291,7090
7003216,980943,381,389.886,14873
