comid,water,wetland,coniferous_forest,deciduous_short,deciduous_medium,deciduous_tall,grass_1,grass_2,cut_hay,corn,soybeans,barren__fallow,structures,roads__impervious,sum
6979044,0.028623823996067,0.0045119164674071,0.047072001608975,0.016698389908154,0.011246480368276,0.095877840845605,0.052106750988849,0.0004786699144115,0.33139288028783,0.36861996916132,9.7041274665356E-5,0.0067493966345617,0.032822800509509,0.0008077554805694,3.57992e+07
2165863,0.0046718012355639,0.0014109061286969,0.0029678375169663,0.0049980921604018,0.0046919426506774,0.0648734839389,0.025591682043145,0,0.54252020575575,0.32578067565496,0.00022759799078195,0.0025972354788789,0.01766704226676,0.00095369600562169,8.93681e+06
14803821,0.0016758550643466,4.0250615462422E-5,0.017609080003845,0.0088359505289424,0.0033866943084877,0.038279463826692,0.050600833434343,0.0094084873208471,0.57546676920891,0.26461916564612,0.0027216187184171,0.0023243789994608,0.021327559759416,0.00063498167196793,2.39251e+07
22477379,0.0053530850472485,0.0018658822802792,0.016735099746773,0.021092335247977,0.023707306528318,0.093458711629918,0.050836946451732,0.0011991662034464,0.42898585633994,0.30993638441109,0.0031670804768081,0.004305768636897,0.026562472978815,0.0024265023778642,1.6191e+10
5120872,0.0049306878769338,0.0018092824053841,0.095087841971856,0.020445677825365,0.0020193164933135,0.28394371121405,0.1218634734726,0.0092713923608076,0.15018617253737,0.12882702560965,0.025064854470763,0.023582029542872,0.083833493575736,0.015047723101128,1.1441e+07
14623416,0.0037129592122893,0.0060985261583523,0.010491072819618,0.024764278814695,0.021863178886362,0.11980805783193,0.070875268750195,0.0034306546598947,0.26749083393056,0.39120940184256,0.0051885146293584,0.013048172498676,0.051368211136385,0.006294830648428,1.92558e+07
6619976,0.00071493974114677,0.0022058452324977,0.025160978989829,0.027270162587542,0.0090857482244055,0.17085253285159,0.16143185923928,0.0045132519983172,0.17306293152516,0.36512658071222,0.0045025613105991,0.0087151377168453,0.041662500928011,0.0016686381746641,2.02045e+07
6609926,0.001401023288638,0.0063826746647848,0.10261115031757,0.02926534932957,0.010702717007763,0.17383086332628,0.15910079981181,0.00013443895553987,0.19358621500823,0.18106092684074,0.0073724417784051,0.010910726887791,0.11743472124206,0.00061079745942131,1.7004e+07
22249009,0.00040674779952417,6.6968875138295E-6,0.11728110283247,0.062375828544014,0.031755191556439,0.16044234704368,0.14287633276873,0,0.032283501571419,0.012459030517834,0.0095423597716792,0.10125067311552,0.30991315585929,0.0028912930671549,5.10685e+07
13357294,0.0012519431850327,0.001471500385393,0.16904269427309,0.086416779775823,0.054760835770695,0.202639617358,0.21846642150311,0.002573957816989,0.08908416618871,0.0066030660150887,0.006339130231677,0.047263190949883,0.10639414929371,0.0062433659208816,3.85321e+06
