HUC_12,FEATUREID
071000040703,6596006
071000040909,6598092
071000040803,6597628
071000041001,6597470
071000040707,6597592
071000040706,6595224
071000041001,6597030
071000040707,6596920
071000040707,6596890
071000040705,6596880
071000040903,6596024
071000040911,6597754
071000040703,6595982
071000040907,6597244
071000040902,6596020
071000040903,6595992
071000040910,6597502
071000040911,6597780
071000040911,6597240
071000040906,6598002
071000040703,6596002
071000040706,6595296
071000040907,6597076
071000040706,6595082
071000040706,6599762
071000040707,6597436
071000040706,6595070
071000041001,6597024
071000040706,6595252
071000041001,6597462
071000040704,6595212
071000040706,6595084
071000040704,6595226
071000041001,6597650
071000040706,6594986
071000040706,6595016
071000040801,6596872
071000040706,6594982
071000040707,6597762
071000041001,6597478
071000041001,6597664
071000041001,6597010
071000040907,6597118
071000040704,6595336
071000040706,6599852
071000040704,6595222
071000040706,6596860
071000040706,6595292
071000040706,6595310
071000041001,6597486
071000040910,6597132
071000040706,6599766
071000041001,6597484
071000040907,6599776
071000040706,6595088
071000040706,6595248
071000040911,6597194
071000040704,6595272
071000040706,6597554
071000040706,6595302
071000040706,6595018
071000040704,6594956
071000040706,6595014
071000040706,6595006
071000040801,6595010
071000040706,6595078
071000041001,6597480
071000040907,6597138
071000041001,6597014
071000040706,6595314
071000041001,6597662
071000040707,6597580
071000040801,6597630
071000040704,6595276
071000040706,6594998
071000040707,6596948
071000040706,6597556
071000041001,6597002
071000040706,6595024
071000040706,6595072
071000040704,6595278
071000040706,6595232
071000040801,6594992
071000040707,6597440
071000040704,6594964
071000040704,6599846
071000040704,6595066
071000041001,6597658
071000040704,6594962
071000040907,6597160
071000041001,6597020
071000041001,6597054
071000040706,6595020
071000040707,6597432
071000040706,6595230
071000040801,6595008
071000040706,6595022
071000040802,6596974
071000040801,6595028
071000041001,6597612
071000041001,6597666
071000040704,6595330
071000040706,6595320
071000040707,6596898
071000040707,6596904
071000040706,6597558
071000040802,6596944
071000040910,6597116
071000040907,6599774
071000041001,6597000
071000040801,6596868
071000040707,6597434
071000040706,6595228
071000040706,6594990
071000040706,6596866
071000040706,6595086
071000041001,6597610
071000041001,6597464
071000040703,6595068
071000040707,6597442
071000040706,6595318
071000040707,6596902
071000040706,6595332
071000040707,6596888
071000040706,6595304
071000040910,6597088
071000040706,6595312
071000040706,6595246
071000040707,6596906
071000040706,6595308
071000040801,6596870
071000040910,6597078
071000040707,6596912
071000040707,6597758
071000040801,6595030
071000040704,6595214
071000040707,6597568
071000040704,6594966
071000040801,6596910
071000041001,6597674
071000041001,6597672
071000040706,6595316
071000040911,6597188
071000041001,6596954
071000040706,6597560
071000040704,6595326
071000041001,6597018
071000040707,6597456
071000041001,6597624
071000040706,6595300
071000040706,6595298
071000040706,6596864
071000040910,6597140
071000040704,6595324
071000040707,6597590
071000040706,6595294
071000061402,6608252
071000061702,6610238
071000061702,6610186
071000061505,6610720
071000061503,6610868
071000060806,6608198
071000061204,6610468
071000061204,6607908
071000061505,6610724
071000061504,6613750
071000061406,6610832
071000061004,6607768
071000061602,6609768
071000060806,6607722
071000061701,6609852
071000061402,6608228
071000061406,6610808
071000061406,6610534
071000061505,6609886
071000061702,6610018
071000061501,6610884
071000061204,6607956
071000061405,6613738
071000061602,6609800
071000061505,6609902
071000061406,6613742
071000061501,6610620
071000061702,6610192
071000061602,6609756
071000061402,6608240
071000061406,6610862
071000061406,6610540
071000061703,6609872
071000061601,6609682
071000061601,6609678
071000061406,6610510
071000061702,6613760
071000061602,6609784
071000061703,6610252
071000061406,6610842
071000061405,6608294
071000061505,6609868
071000061005,6607954
071000061505,6610950
071000061406,6610498
071000061102,6607874
071000061501,6610556
071000061601,6609692
071000061406,6610544
071000061505,6609910
071000061404,6608216
071000061501,6610506
071000060806,6607732
071000061406,6610552
071000061503,6610890
071000061402,6607744
071000061505,6609882
071000061504,6610936
071000061204,6610494
071000061402,6613776
071000061503,6610878
071000061505,6609928
071000061505,6610942
071000061402,6613780
071000061503,6610900
071000061005,6610476
071000061004,6607852
071000061406,6610514
071000061004,6607884
071000061503,6610902
071000061402,6608248
071000061005,6607928
071000061405,6610824
071000061406,6610858
071000061701,6609876
071000061402,6613778
071000061405,6610492
071000061503,6613746
071000061701,6609938
071000060806,6608208
071000061702,6613764
071000061503,6610876
071000061601,6609696
071000061702,6610184
071000061601,6609706
071000061601,6609724
071000061702,6610178
071000061505,6610952
071000061505,6613756
071000061503,6610894
071000060806,6607712
071000061406,6610548
071000061702,6610198
071000061004,6607862
071000061404,6608266
071000061004,6607786
071000061503,6610898
071000061005,6610480
071000061005,6607900
071000061404,6608244
071000061505,6609904
071000061204,6610496
071000061702,6613758
071000061504,6613752
071000061406,6610848
071000061403,6607720
071000061602,6609786
071000061505,6610948
071000061602,6609746
071000061404,6608232
071000061505,6610152
071000061406,6610854
071000061702,6610200
071000061402,6607758
071000061702,6610222
071000061004,6607880
071000061404,6608220
071000061501,6610508
071000061405,6610484
071000061505,6610728
071000061405,6610822
071000061504,6610932
071000061406,6610830
071000061405,6610490
071000061402,6613782
071000061406,6613740
071000061505,6609890
071000061406,6610860
071000061702,6610000
071000061602,6609792
071000061004,6607824
071000061505,6610128
071000060806,6607716
071000061406,6610880
071000061503,6610872
071000061505,6609858
071000061501,6610518
071000061505,6609894
071000061702,6610166
071000061402,6608236
071000061102,6608102
071000061404,6608226
071000061504,6610926
071000061703,6610162
071000061406,6610806
071000061204,6607888
071000061406,6610600
071000061503,6610570
071000061404,6608246
071000061503,6610656
071000061501,6610886
071000061601,6609732
071000061502,6610662
071000061701,6609930
071000061602,6610094
071000061505,6610738
071000061505,6609730
071000060904,6607692
071000061504,6610694
071000061702,6610194
071000061505,6609840
071000061402,6607812
071000061505,6610700
071000061702,6610022
071000061702,6610214
071000061503,6610648
071000061505,6609726
071000061702,6609996
071000061505,6610714
071000061406,6610520
071000061505,6610726
071000061503,6610646
071000061405,6608104
071000061302,6610642
071000061702,6610002
071000061406,6610546
071000061702,6609922
071000061003,6607878
071000061702,6609958
071000061204,6607920
071000061503,6610654
071000061502,6610664
071000061302,6610624
071000061703,6609986
071000061504,6610938
071000061601,6609722
071000061505,6609900
071000061301,6610814
071000061003,6607790
071000061505,6609934
071000061504,6610984
071000061401,6607864
071000061302,6610638
071000061503,6610896
071000061602,6609704
071000061701,6609920
071000061702,6610202
071000061702,6610014
071000061505,937100045
071000061406,6610568
071000061703,6610164
071000061302,6610608
071000061406,6610578
071000061403,6607894
071000061302,6610816
071000061302,6610622
071000061404,6607906
071000061703,6609898
071000061505,6610716
071000061702,6609978
071000061406,6610512
071000061003,6607804
071000061702,6611342
071000061405,6610466
071000061602,6610092
071000061601,6609728
071000061504,6610680
071000061502,6610670
071000061503,6610582
071000061702,6610224
071000061702,6609992
071000061301,6610528
071000061405,6608264
071000061406,6610536
071000061406,6610566
071000061702,6610176
071000061505,6609888
071000060904,6607702
071000061702,6609984
071000061502,6610658
071000061504,6610934
071000061402,6607800
071000061505,6610746
071000061505,6610718
071000061702,6610010
071000061005,6607932
071000061501,6610818
071000061406,6610526
071000061702,6609994
071000061505,6610988
071000061406,6610532
071000061505,6609854
071000061404,6607904
071000061701,6609878
071000061702,6610020
071000061702,6609998
071000061702,6610206
071000061505,6609892
071000061302,6610612
071000061504,6610688
071000061702,6610016
071000061702,6611340
071000061406,6610522
071000061402,6607796
071000061703,6609862
071000061703,6610216
071000061601,6609734
071000061502,6610668
071000061405,6607942
071000061602,6609700
071000061702,6610218
071000061302,6610616
071000061302,6610632
071000061702,6610204
071000061702,6609988
071000061702,6610012
071000061302,6610572
071000061702,6610160
071000061302,6610626
071000061505,6610692
071000061702,6610180
071000061301,6610804
071000061602,6609702
071000061406,6610850
071000061601,6609720
071000061504,6610696
071000061504,6610980
071000061403,6608098
071000061702,6610220
071000061702,6610004
071000061503,6610892
071000061302,6610574
071000061302,6610636
071000061401,6607892
071000061505,6610946
071000061505,6610986
071000061505,6610710
071000061701,6609838
071000061502,6610660
071000061702,6609942
071000061301,6610596
071000061503,6610908
071000061505,6610704
071000061703,6609864
071000061404,6607858
071000061405,6607952
071000061004,6607700
071000061204,6607886
071000060702,6607670
071000061405,6608292
071000061404,6607728
071000060806,6608094
071000061401,6607820
071000061404,6607778
071000061004,6607676
071000061401,6607902
071000061404,6607734
071000061405,6607914
071000061004,6607688
071000061404,6608218
071000061404,6607724
071000061204,6607868
071000061501,6610640
071000061203,6607876
071000061404,6608306
071000061404,6608222
071000061404,6607814
071000061402,6608250
071000061401,6607776
071000061405,6610456
071000061204,6610474
071000061402,6607726
071000061204,6607926
071000061102,6607826
071000061504,6610672
071000060806,6608202
071000061404,6607848
071000061204,6610488
071000061102,6607806
071000061505,6609860
071000061005,6610472
071000061401,6607838
071000061505,937100083
071000061405,6607910
071000061404,6607760
071000061401,6607924
071000061102,6607774
071000061204,6610470
071000061401,6607818
071000061405,6610460
071000061405,6610462
071000061504,6610666
071000060806,6607708
071000061405,6610478
071000061405,6607938
071000061401,6607810
071000061404,6607896
071000061404,6608260
071000061003,6607770
071000061404,6607836
071000061401,6607916
071000061505,6609758
071000061102,6607808
071000061405,6607936
071000061401,6607832
071000061401,6607860
071000060806,6607684
071000061004,6607882
071000061004,6607766
071000061505,6610070
071000061404,6607870
071000061405,6613712
071000060806,6607662
071000061005,6607798
071000061203,6607756
071000061401,6607784
071000061402,6607780
071000061405,6607948
071000061505,6610124
071000061404,6607754
071000061401,6607856
071000061405,6610482
071000061405,6607940
071000061003,6607802
071000061405,6610504
071000061004,6608302
071000061203,6607764
071000061005,6607898
071000061203,6607762
071000061204,6610486
071000061004,6607682
071000061404,6607834
071000061401,6607850
071000060806,6607718
071000061501,6610602
071000061004,6607788
071000061003,6607792
071000061404,6607872
071000061004,6607854
071000061401,6607866
071000061405,6608272
071000060806,6607710
071000060806,6608210
071000061405,6608288
071000061004,6607822
071000061004,6607890
071000060806,6607686
071000061405,6607950
071000061404,6607782
071000061402,6608330
071000061405,6610458
071000061401,6607846
071000060806,6608204
