Title,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,XNot selected,YNot selected,X30,Y30,X30,Y30
,,,803.36,870.08,946.76,843.88,725.03,846.18,,,530.53,828.43,533.13,820.84,387.26,819.16,415.78,808.86,550.04,803.36,413.67,782.87,190.17,774.26,233.13,768.58,227.75,758.29,178.67,759.17,340.98,740.84,251.86,729.67,232.82,711.09,351,712.7,293.26,773.5,428.56,781.62,364.2,788.84,820.58,790.3,385.12,792.86,262.58,799.79,367.57,802.4,276,837.05,494.2,840.77,1000,0,1000,0,1000,0
,,,854.29,870.28,952.74,844.54,734.03,850.81,,,548.5,829.84,539.13,820.6,388.59,819.17,421.76,808.89,555.94,804.79,425.67,783.5,193.17,774.14,236.59,768.4,231.15,758.33,182.05,758.92,347.12,741.64,255.24,729.62,236.46,711.1,357,714.4,302.74,773.9,435.71,781.97,373.96,788.89,835.86,790.31,391.46,792.84,268.63,799.86,370.98,802.32,279.04,837.01,497.2,841.3,1020,0,1020,0,1020,0
,,,884.24,870.56,979.67,844.16,737.03,851.63,,,560.49,830.28,548.13,820.54,394.58,819.44,427.75,809.06,564.79,806.3,437.66,783.79,196.18,773.97,240.04,768.39,234.55,758.48,185.42,758.68,353.27,742.68,258.62,729.47,240.1,711.12,363,716.22,312.45,773.7,442.85,781.33,383.71,788.87,841.98,790.46,404.14,792.69,283.75,799.91,374.38,802.06,282.07,836.74,503.2,841.4,1040,0,1040,0,1040,0
,,,905.21,870.48,997.61,844.38,743.03,851.97,,,569.47,830.01,563.13,820.91,400.56,819.46,439.71,808.88,576.59,807.2,458.65,784.51,200.79,773.84,246.94,768.62,237.95,758.59,188.79,758.59,359.41,743.75,261.99,729.13,261.92,711.18,369,717.44,322.21,773.7,446.42,781.32,393.47,788.82,854.2,791.11,416.82,792.63,289.8,799.97,381.19,801.94,286.33,835.88,509.2,841.87,1060,0,1060,0,1060,0
,,,986.09,871.26,1018.55,844.88,749.03,851.46,,,572.47,830.18,578.13,822.27,403.56,819.19,448.69,808.6,,,464.64,784.57,208.76,770.74,250.4,768.66,243.6,758.67,192.16,758.56,365.55,744.33,265.37,729.03,265.56,711.2,375,718.21,325.18,774.06,453.56,781.86,409.73,788.78,866.43,791.96,423.7,792.65,298.87,800.1,387.99,802.49,288.66,835.44,515.2,841.18,1080,0,1080,0,1080,0
,,,,,1060.43,844.75,758.03,848.2,,,599.43,830.1,581.13,822.84,409.54,818.97,454.67,808.73,,,470.64,784.24,212.94,769.3,253.85,768.58,250.67,758.84,198.9,758.57,371.7,744.37,268.74,729.01,269.2,711.18,381,718.26,332.73,780.11,457.14,781.61,422.74,788.67,875.6,793.06,429.77,792.71,304.92,800.14,391.4,802.56,292.77,834.12,527.2,842.07,1100,0,1100,0,1100,0
,,,,,1093.34,845.26,764.03,848.08,,,614.41,829.8,590.13,825.31,421.52,818.91,466.63,808.58,,,473.64,784.23,222.1,768.4,257.3,768.43,261.27,759.27,205.64,758.55,377.84,744.62,272.12,728.91,272.84,711.17,387,717.58,336.86,780.95,464.28,781.72,429.24,788.63,881.71,792.79,435.84,792.69,310.97,800.08,398.2,801.98,296.88,832.19,539.2,842.04,1120,0,1120,0,1120,0
,,,,,1105.31,845.77,794.03,848.83,,,623.4,829.82,596.13,826.32,439.48,819.06,481.59,807.89,,,476.64,784.45,233.39,769.5,260.75,768.46,264.81,759.28,209.02,758.51,383.99,745.01,275.5,728.88,276.47,711.14,393,715.71,340.11,781.59,478.56,782.46,445.5,788.57,887.83,791.03,451.02,792.56,320.04,799.87,405.01,801.69,300.09,830.03,551.2,842.84,1140,0,1140,0,1140,0
,,,,,1138.21,846.17,842.03,848.76,,,629.39,829.59,602.13,826.72,448.46,818.98,496.55,807.71,,,485.63,785.58,242.44,769.5,264.21,768.56,268.34,759.26,212.39,758.42,390.13,745.65,278.87,728.99,280.11,711.1,399,714.21,343.37,782,482.87,782.78,458.51,788.59,893.94,789.99,466.2,792.78,329.12,799.7,408.41,802.02,300.84,829.75,560.2,842.82,1160,0,1160,0,1160,0
,,,,,1147.19,846.41,881.03,847.99,,,662.35,829.27,611.13,826.97,454.44,818.7,502.53,807.73,,,491.63,785.26,250.89,771.74,267.66,768.63,275.41,759.43,215.76,758.34,402.42,747.58,282.25,729.25,283.75,711.05,405,714.21,353.13,782.52,486.77,782.89,474.76,788.58,903.11,789.79,472.27,792.83,335.17,799.47,415.22,802.14,307.88,829.68,566.2,843.12,1180,0,1180,0,1180,0
,,,,,1189.07,846.43,914.03,848.24,,,668.34,829.42,617.13,827.61,463.43,818.82,514.5,807.63,,,497.63,785.28,251.98,773.74,274.56,768.71,278.95,759.47,222.5,758.32,408.56,748.61,285.63,729.53,287.39,710.98,411,714.59,358.4,782.64,494.57,782.48,487.77,788.59,912.28,789.57,484.41,793.06,347.26,798.86,418.63,802.13,313.62,828.93,584.2,842.93,1200,0,1200,0,1200,0
,,,,,1201.03,846.54,,,,,674.33,829.31,629.13,827.13,469.41,818.69,523.65,806.81,,,518.62,784.89,253.25,774.51,281.47,768.55,282.48,759.55,229.24,758.14,420.85,750.13,289,729.78,291.02,710.9,417,714.96,365.27,782.44,498.47,782.47,500.78,788.7,924.51,789.9,493.52,793.16,353.31,798.62,425.43,802.49,314.39,830.1,587.2,843.37,1220,0,1220,0,1220,0
,,,,,1224.97,846.41,,,,,683.32,829.52,641.13,826.91,475.4,818.72,529.37,806.61,,,524.61,785.09,256.25,775.39,284.92,768.17,286.02,759.67,232.61,758.19,426.99,750.48,292.38,729.98,298.3,710.72,423,714.95,368.71,782.4,502.37,782.61,507.28,788.64,933.68,789.53,496.55,793.31,359.36,798.48,428.84,802.55,316.91,834.08,596.2,845.4,1240,0,1240,0,1240,0
,,,,,1254.88,846.53,,,,,692.31,829.32,668.13,826.61,481.39,818.6,529.57,806.66,,,533.61,784.89,259.26,776.15,288.37,768.3,289.55,759.71,235.98,758.14,433.14,750.54,295.75,730.12,301.94,710.66,429,715.48,379.02,782.62,506.27,782.95,510.53,788.58,939.79,789.76,499.59,793.7,371.46,798.34,439.05,802.49,317.44,835.61,,,,,1260,0,1260,0
,,,,,1296.76,846.9,,,,,719.27,829.25,680.13,826.07,490.37,818.89,541.26,803,,,542.6,785.06,262.26,776.8,291.83,768.41,293.09,759.82,239.36,757.99,439.28,750.83,299.13,730.22,305.58,710.59,435,715.36,382.46,782.49,510.17,782.65,513.79,788.71,945.9,790.26,502.62,793.9,374.48,798.33,449.26,802.53,320.39,837.27,,,,,1280,0,1280,0
,,,,,1314.71,847.34,,,,,734.25,829.49,686.13,825.67,496.35,818.89,543.51,800.6,,,551.6,785.8,265.01,777.31,295.28,768.57,296.62,760.08,242.73,757.88,445.42,751.49,302.82,730.29,309.21,710.55,444,715.28,385.89,782.16,517.97,782.49,517.04,788.94,955.07,791.13,517.8,793.66,389.6,798.15,456.06,802.31,321.56,837.92,,,,,1300,0,1300,0
,,,,,1359.58,847.86,,,,,746.24,829.5,698.13,825.93,499.35,819.23,545.4,799.23,,,554.6,785.86,268.03,777.85,298.73,768.78,300.16,760.3,246.1,757.82,451.57,751.53,306.95,730.36,312.85,710.53,453,715.65,389.33,781.94,525.77,782.25,520.29,789.05,967.3,791.68,523.87,793.54,398.68,798.08,459.47,802.05,325.67,839.82,,,,,1320,0,1320,0
,,,,,1401.51,848.24,,,,,752.23,829.7,707.13,825.75,502.34,819.24,552.75,798.71,,,563.59,785.54,271.05,778.37,302.18,768.95,303.69,760.43,249.47,757.87,457.71,750.75,311.09,730.41,316.49,710.52,459,716,396.2,781.72,529.67,782.31,523.54,789.25,973.41,792.15,532.98,793.43,413.8,798.04,465,802.2,,,,,,,1340,0,1340,0
,,,,,1422.51,848.56,,,,,761.22,829.68,716.13,826.43,508.33,819.43,557.41,799.14,,,569.59,785.22,274.07,778.86,305.64,768.88,307.23,760.53,252.84,757.84,473.07,748.69,315.23,730.47,320.13,710.5,467.39,716.53,409.94,781.48,532.23,782.16,530.05,789.35,979.52,792.37,538.93,793.44,422.87,797.97,471.4,802.15,,,,,,,1360,0,1360,0
,,,,,1440.5,848.63,,,,,770.2,829.98,743.12,828.02,514.31,819.38,560.19,800.02,,,575.59,785.02,277.09,779.28,309.09,768.77,310.76,760.57,256.21,757.83,479.22,747.86,319.37,730.5,327.4,710.49,473.39,716.42,420.25,781.27,533.57,782.09,536.55,790,988.69,792.41,545.97,793.58,428.92,797.96,477.79,801.96,,,,,,,1380,0,1380,0
,,,,,1524.47,850.09,,,,,782.19,830.15,758.1,828.34,523.29,819.9,566.34,806.5,,,581.58,784.7,280.1,779.58,312.54,768.56,314.3,760.72,259.58,758.01,485.36,747.03,323.51,730.52,331.04,710.51,479.39,716.81,423.69,781.3,537.47,780.46,539.8,790.47,1003.98,792.76,553,793.68,434.97,797.98,480.99,801.91,,,,,,,1400,0,1400,0
,,,,,,,,,,,788.18,830.05,767.1,828.4,538.26,820.3,589.67,806.14,,,591.24,784.95,283.12,779.66,315.99,768.24,317.83,760.84,262.95,758.03,491.5,746.22,327.64,730.56,334.68,710.55,488.39,717.04,427.12,781.05,541.37,778.63,543.05,791.18,1010.09,792.3,560.04,793.74,444.04,798.06,484.19,801.74,,,,,,,1420,0,1420,0
,,,,,,,,,,,809.15,830.4,776.09,828.79,544.25,820.99,590.72,806.19,,,608.42,784.65,286.14,779.72,319.45,767.57,324.9,761.43,266.33,758.17,497.65,745.44,331.78,730.61,341.95,710.65,494.39,717.43,430.56,780.6,545.27,777.46,549.56,792.74,1019.26,791.4,563.56,793.83,468.23,798.03,487.39,801.64,,,,,,,1440,0,1440,0
,,,,,,,,,,,821.14,830.84,,,,,599.63,806.12,,,610.72,780.6,289.16,780.23,322.9,766.6,328.44,761.78,269.7,758.49,503.79,744.74,335.92,730.67,345.59,710.71,500.39,718.18,434,780.69,548.34,775.82,556.06,794,1025.37,791.14,567.08,794.13,483.36,798.11,490.59,801.42,,,,,,,1460,0,1460,0
,,,,,,,,,,,827.13,830.76,,,,,605.57,805.94,,,613.52,779.5,292.18,781.15,326.35,766.36,331.97,761.95,273.07,758.84,509.93,744.03,340.06,730.71,349.23,710.79,509.39,719.41,444.3,780.75,554.13,775.3,562.56,795.68,1037.6,791.07,570.59,794.95,492.43,798.28,493.79,800.74,,,,,,,1480,0,1480,0
,,,,,,,,,,,836.12,830.98,,,,,611.51,806.02,,,623.22,779.2,295.2,782.21,329.8,766.09,335.51,761.9,276.44,759.09,516.08,742.39,348.33,730.92,352.87,710.89,515.39,719.79,447.74,780.71,560.25,773.7,565.82,796.33,1046.77,790.51,574.11,796.09,495.45,798.3,496.99,799.79,,,,,,,1500,0,1500,0
,,,,,,,,,,,848.1,831.49,,,,,617.45,806.37,,,632.81,779.4,298.21,783.29,333.26,765.95,339.05,761.52,283.18,758.97,522.22,741.99,354.26,730.95,356.51,710.98,524.65,719.69,461.49,780.89,568.04,774.9,572.32,797.53,1052.88,790.33,581.15,798.16,501.5,798.13,500.19,798.94,,,,,,,1520,0,1520,0
,,,,,,,,,,,857.09,831.59,,,,,629.33,806.73,,,637.92,780.2,301.23,784.35,336.71,765.68,342.58,761.49,286.55,758.87,531.44,741.88,356.61,730.83,360.14,711.08,533.65,719.53,468.36,780.7,568.67,778.76,575.57,797.81,1059,790.71,584.66,798.78,510.57,798.2,503.12,798.4,,,,,,,1540,0,1540,0
,,,,,,,,,,,887.05,832.57,,,,,638.24,806.58,,,639.28,780.6,304.25,785.37,343.61,765.71,346.12,761.62,289.92,758.9,537.58,741.8,360.75,730.72,363.78,711.23,542.65,719.8,471.79,780.67,570.2,779.08,578.82,798.55,1071.22,790.83,588.18,799.13,516.62,798.19,506.59,795.96,,,,,,,1560,0,1560,0
,,,,,,,,,,,902.03,833.23,,,,,644.18,806.96,,,641.98,784.55,307.27,786.36,350.52,765.65,349.65,761.66,293.29,758.86,543.72,741.45,364.89,730.62,367.42,711.47,551.65,719.87,478.67,781,572.57,779.55,582.08,799.11,1077.34,791.12,591.7,799.36,543.84,798.26,509.79,795,,,,,,,1580,0,1580,0
,,,,,,,,,,,917.01,833.78,,,,,656.06,806.95,,,649.94,787.15,310.29,787.23,353.97,765.8,353.19,761.64,296.67,758.78,549.87,741.36,369.02,730.46,371.06,711.75,557.65,719.75,482.1,780.83,580.36,779.76,585.33,799.27,1083.45,790.79,598.74,799.47,561.99,798.22,512.99,794.2,,,,,,,1600,0,1600,0
,,,,,,,,,,,923,833.78,,,,,667.94,806.52,,,659.32,788.25,313.3,787.76,360.88,766.22,360.26,761.55,303.41,758.76,556.01,741.09,373.16,730.28,374.69,711.95,563.65,719.43,488.97,781.01,588.16,779.89,588.58,799.09,1092.62,790.54,605.77,799.72,577.11,798.25,516.19,794.25,,,,,,,1620,0,1620,0
,,,,,,,,,,,931.99,834.45,,,,,679.81,805.81,,,668.69,789.04,316.32,787.47,364.33,766.56,363.79,761.39,306.78,758.83,562.16,740.91,377.3,730.07,378.33,712.07,569.65,719.52,492.41,780.76,592.06,780.51,591.83,798.73,1101.79,790,612.81,799.76,583.16,798.38,522.59,794.5,,,,,,,1640,0,1640,0
,,,,,,,,,,,943.97,834.92,,,,,688.72,806.58,,,674.34,789.02,319.34,787.12,367.78,767.01,370.86,761.47,313.52,758.81,568.3,740.58,381.44,729.88,381.97,712.11,575.65,719.75,495.85,780.91,595.96,781.91,595.08,798.44,1107.9,790.35,616.32,799.6,589.21,798.66,535.39,795,,,,,,,1660,0,1660,0
,,,,,,,,,,,955.95,835.24,,,,,697.63,807,,,679.46,789.24,325.38,787.31,371.23,767.54,381.47,761.75,323.64,758.88,574.44,740.48,385.58,729.7,385.61,712.04,581.65,719.89,499.28,780.89,598.56,782.57,598.33,797.91,1114.02,790.5,623.36,798.92,595.25,799.02,538.77,795.97,,,,,,,1680,0,1680,0
,,,,,,,,,,,964.94,834.32,,,,,712.48,808.35,,,685.45,789.04,328.4,787.35,374.69,768.15,388.54,761.9,327.01,758.95,580.59,739.8,393.85,729.38,389.25,711.92,593.65,720.13,502.72,781.06,602.47,782.97,601.59,797.17,1120.13,790.66,630.4,798.41,598.28,799.13,541.79,798.78,,,,,,,1700,0,1700,0
,,,,,,,,,,,988.91,834.84,,,,,724.36,809.9,,,709.4,788.97,334.43,787.2,378.14,768.67,395.61,762,333.75,758.97,586.73,739.21,397.99,729.24,392.88,711.77,602.65,720.22,509.59,780.89,606.38,782.87,608.09,794.73,1126.24,791.28,633.91,798.57,601.3,798.9,548.19,803.05,,,,,,,1720,0,1720,0
,,,,,,,,,,,1000.89,834.57,,,,,736.24,811.34,,,730.35,788.98,337.45,786.99,381.59,769.06,399.14,761.98,337.12,758.9,592.88,738.68,402.13,729.11,396.52,711.55,608.65,720.28,516.46,780.78,610.29,782.56,611.34,793.83,1132.36,791.06,637.43,799.06,604.33,798.46,551.39,804.22,,,,,,,1740,0,1740,0
,,,,,,,,,,,1030.85,834.41,,,,,739.21,811.57,,,739.33,789.19,343.49,786.59,385.04,769.17,402.68,762,340.49,758.74,602.09,737.75,406.27,729,400.16,711.29,617.65,720.21,523.34,780.81,614.2,782.4,614.59,792.81,1150.56,791.06,640.95,799.73,607.35,798.11,554.59,804.72,,,,,,,1760,0,1760,0
,,,,,,,,,,,1042.84,834.56,,,,,745.15,811.58,,,748.31,789.55,346.5,786.44,388.5,769.34,406.21,762.07,343.86,758.64,608.23,736.85,410.4,728.93,403.8,711.19,623.65,720.14,526.77,780.91,618.11,782.51,617.85,791.46,1168.75,791.32,644.47,800.24,610.38,797.92,557.79,805.04,,,,,,,1780,0,1780,0
,,,,,,,,,,,1048.83,834.79,,,,,754.06,811.73,,,751.3,789.48,349.52,786.24,391.95,769.28,413.28,762.13,347.23,758.49,614.38,736.11,414.54,728.89,411.07,711.27,629.65,719.89,530.21,780.88,622.02,782.95,621.1,790.43,1174.81,791.22,647.99,800.57,616.42,797.97,560.99,805.23,,,,,,,1800,0,1800,0
,,,,,,,,,,,1060.81,834.77,,,,,761.77,811.9636,,,754.3,788.95,352.54,786.07,398.85,769.02,416.82,762.26,350.43,758.2,620.52,735.64,422.82,728.91,414.71,711.33,635.65,719.49,533.64,780.7,625.93,783.57,624.35,789.53,1180.14,789.67,651.5,800.54,622.47,798.23,564.19,805.29,,,,,,,1820,0,1820,0
,,,,,,,,,,,1069.8,834.61,,,,,762.97,812,,,757.29,789.05,355.56,785.96,402.31,769.21,423.89,762.28,358.96,755.22,626.67,735.29,426.95,728.95,418.35,711.34,641.65,719.06,537.08,780.69,629.84,784.38,627.6,788.85,1189.12,782.5,655.02,800.4,625.5,798.43,567.39,804.97,,,,,,,1840,0,1840,0
,,,,,,,,,,,1090.77,834.81,,,,,768.94,812.33,,,763.28,789.52,361.6,785.71,405.76,769.3,427.42,762.38,365.16,747.27,632.81,735.06,431.09,729,421.99,711.05,650.65,717.89,543.95,780.89,637.67,786.46,634.1,788.32,1197.9,783.2,669.09,800.57,628.52,798.56,570.59,804.54,,,,,,,1860,0,1860,0
,,,,,,,,,,,1102.76,835.14,,,,,781.88,812.4402,,,778.24,789.43,364.61,785.53,409.21,769.43,430.55,762.32,369.76,746.2,638.95,734.82,435.23,729.04,425.62,710.69,656.65,717.09,550.83,780.69,641.58,787.17,637.36,788.24,1221.99,784.57,676.13,800.62,634.57,798.35,573.79,804.46,,,,,,,1880,0,1880,0
,,,,,,,,,,,1108.75,835.59,,,,,795.93,812.56,,,784.23,789.93,367.63,785.33,416.12,769.82,433.99,762.3,406.52,746.3,645.1,734.62,439.37,729.22,429.26,710.83,665.65,715.66,557.7,781.15,653.31,787.75,643.86,788.14,1229.35,790.61,690.2,800.48,637.59,798.3,580.19,804.95,,,,,,,1900,0,1900,0
,,,,,,,,,,,1120.73,835.64,,,,,804.93,812.82,,,790.22,791.06,370.65,785.2,419.57,769.92,440.88,762.43,415.61,745.7,651.24,734.45,443.51,729.26,432.9,711.4,671.65,714.95,571.44,780.84,661.13,787.57,647.11,788.13,1235.41,791.9,700.75,800.41,640.62,798.43,583.39,805.05,,,,,,,1920,0,1920,0
,,,,,,,,,,,1126.72,835.21,,,,,813.93,812.61,,,796.2,791.22,373.67,785.16,426.47,769.85,447.76,762.44,421.9,747.27,660.46,734.32,447.64,729.09,436.54,711.36,677.65,714.55,578.31,780.89,668.95,787.64,660.12,788.17,1241.47,792.23,707.79,800.45,646.67,799.05,596.18,805.57,,,,,,,1940,0,1940,0
,,,,,,,,,,,1141.7,835.33,,,,,816.93,812.64,,,802.19,790.66,379.7,785.03,429.93,769.77,451.2,762.48,433.76,748.11,675.82,734.14,451.78,729.01,440.17,711.3,683.65,714.61,585.19,780.72,676.78,788.32,699.14,788.18,1247.53,791.77,725.38,801.01,649.69,799.12,608.98,806.16,,,,,,,1960,0,1960,0
,,,,,,,,,,,1153.69,835.13,,,,,825.92,813.02,,,817.15,790.76,382.72,784.91,433.38,769.67,454.65,762.44,437.76,749.92,681.96,734.02,455.92,729.04,447.45,711.32,689.65,714.5,592.06,780.71,684.6,788.11,702.39,788.17,1259.65,790.02,,,655.74,798.84,612.18,806.33,,,,,,,1980,0,1980,0
,,,,,,,,,,,1168.67,835.1,,,,,831.92,813.09,,,835.11,791.82,385.74,784.64,436.83,769.63,458.09,762.59,444.66,751.81,688.1,734.44,460.06,729.1,451.09,711.09,695.65,714.12,595.5,780.78,692.42,787.61,718.65,788.02,1265.71,790.12,,,661.79,798.51,615.38,806.58,,,,,,,2000,0,2000,0
,,,,,,,,,,,1183.65,835.18,,,,,837.92,813.31,,,844.09,791.38,391.78,784.33,440.28,769.64,464.97,762.59,452.51,753.25,694.25,734.58,464.2,729.17,454.73,710.99,704.65,713.98,598.93,780.63,696.33,787.48,725.24,788.03,1271.77,791.09,,,664.81,798.62,621.78,807.2,,,,,,,2020,0,2020,0
,,,,,,,,,,,1201.62,835.52,,,,,843.92,813.17,,,850.07,791.17,397.81,783.84,443.74,769.69,468.41,762.74,461.86,756.85,700.39,734.52,468.33,729.26,458.36,711.32,710.65,713.84,602.37,780.64,700.24,787.5,735,788.11,1280.87,793.35,,,670.86,798.68,624.98,807.55,,,,,,,2040,0,2040,0
,,,,,,,,,,,1234.58,835.27,,,,,852.92,813.22,,,856.06,791.38,400.83,783.77,450.64,769.63,471.85,762.76,467.16,757.7,706.54,734.54,476.61,729.36,462,711.51,719.65,713.7,609.24,780.89,715.89,787.24,744.75,788.06,1286.93,793.93,,,676.91,798.67,637.78,809.05,,,,,,,2060,0,2060,0
,,,,,,,,,,,1243.57,833.16,,,,,867.92,813.05,,,859.05,791.29,403.85,783.93,454.1,770.1,475.3,762.72,473.16,757.47,715.75,734.46,480.75,729.4,465.64,711.68,728.65,713.35,616.11,780.89,719.8,786.97,757.76,788.14,1296.02,793.38,,,682.96,798.63,647.38,810.12,,,,,,,2080,0,2080,0
,,,,,,,,,,,1252.56,832.89,,,,,873.91,813.15,,,871.02,791.23,406.87,784,461,770.21,482.18,762.82,503.36,758.2,721.9,734.23,484.89,729.48,469.28,711.94,734.65,713.17,622.98,780.63,727.62,786.83,761.01,788.04,1308.14,793.36,,,692.03,798.54,,,,,,,,,2100,0,2100,0
,,,,,,,,,,,1276.52,832.72,,,,,882.91,813.13,,,888.98,791.33,412.9,784.1,467.91,770.29,485.62,762.83,504.19,758.32,728.04,734.14,489.02,729.58,472.92,712.06,740.65,712.94,626.42,780.6,731.53,786.97,764.27,787.64,1332.38,793.64,,,701.11,798.42,,,,,,,,,2120,0,2120,0
,,,,,,,,,,,1297.5,832.28,,,,,894.91,813.19,,,900.95,791.33,415.92,783.97,471.36,770.3,489.06,762.95,507.74,758.44,734.18,734.07,497.3,729.76,476.55,711.82,747.89,712.84,629.86,780.72,735.44,786.88,765.94,787.18,1344.5,793.36,,,710.18,798.27,,,,,,,,,2140,0,2140,0
,,,,,,,,,,,1324.46,831.94,,,,,903.91,813.06,,,912.92,791.21,418.94,783.98,474.81,770.17,492.51,762.91,511.28,758.45,740.33,734.09,505.58,729.96,480.19,711.48,753.89,712.59,636.73,780.66,743.26,786.99,768.14,780.25,1371.81,792.67,,,719.25,798.06,,,,,,,,,2160,0,2160,0
,,,,,,,,,,,1339.44,832.13,,,,,915.91,813.4,,,924.89,791.74,421.96,784.35,478.26,770.1,499.39,762.79,514.82,758.5,749.54,734,517.99,730.29,483.83,711.09,759.89,712.3,643.6,780.72,747.18,786.94,771.55,779.66,1384.12,792.88,,,722.28,797.93,,,,,,,,,2180,0,2180,0
,,,,,,,,,,,1351.42,831.88,,,,,921.9,813.41,,,930.88,791.91,424.98,786.03,481.72,770.08,502.83,762.87,518.37,758.51,755.69,733.86,522.13,730.37,487.47,710.87,765.89,712.51,647.04,780.81,755,787.36,775.94,778.63,1396.43,793.31,,,725.3,798.21,,,,,,,,,2200,0,2200,0
,,,,,,,,,,,1357.41,831.99,,,,,939.9,813.09,,,936.86,791.95,428,786.79,485.17,770.11,506.27,762.82,525.45,758.61,761.83,733.97,526.27,730.43,491.1,711.02,771.89,712.48,650.47,780.72,762.82,787.08,785.16,778.7,1408.73,793.66,,,731.35,799.13,,,,,,,,,2220,0,2220,0
,,,,,,,,,,,1378.39,831.88,,,,,951.9,813.09,,,942.85,791.82,431.01,787.02,488.62,770.2,509.71,762.88,529,758.76,767.97,734.1,530.4,730.47,494.74,711.11,777.89,711.21,657.35,780.69,774.55,786.93,791.31,779.75,1414.88,793.18,,,740.42,800.63,,,,,,,,,2240,0,2240,0
,,,,,,,,,,,1387.37,832.7,,,,,960.9,813.44,,,945.84,791.88,434.03,787.31,492.07,770.39,513.16,762.91,532.54,758.96,777.19,734.11,534.54,730.5,498.38,711.21,783.89,710.38,660.78,780.62,782.37,786.91,796.37,780.25,1424.11,793.04,,,743.45,801.27,,,,,,,,,2260,0,2260,0
,,,,,,,,,,,1390.37,832.78,,,,,969.89,812.96,,,948.84,792.18,440.07,787.36,495.53,769.91,516.6,762.84,536.08,759.3,786.41,734.07,555.23,730.6,502.02,711.24,789.98,709.48,664.22,780.78,790.2,786.49,799.88,781.66,1442.57,793,,,749.49,802.42,,,,,,,,,2280,0,2280,0
,,,,,,,,,,,1399.36,831.96,,,,,975.89,813.26,,,954.82,792.53,443.09,787.45,498.98,769.69,523.48,762.96,539.62,759.34,792.55,734.1,559.37,730.63,505.66,710.93,828.6,706.16,671.09,780.95,798.02,786.44,801.56,781.98,1467.19,793.35,,,752.52,802.78,,,,,,,,,2300,0,2300,0
,,,,,,,,,,,1405.35,831.76,,,,,990.89,814.7,,,969.79,792.93,449.12,787.65,502.43,769.89,526.92,762.99,543.17,759.41,798.69,734.15,571.78,730.69,509.29,710.64,837.91,705.48,674.53,780.98,805.84,785.98,803.42,782.34,1479.49,793.05,,,755.54,803.19,,,,,,,,,2320,0,2320,0
,,,,,,,,,,,1429.32,831.81,,,,,999.89,815.15,,,984.75,793.6,455.16,787.92,505.88,770.06,530.36,763.06,546.71,759.47,807.91,734.57,575.92,730.7,512.93,710.49,849.96,703.39,684.84,780.84,809.75,785.82,806.88,783.21,1488.72,792.76,,,758.57,803.55,,,,,,,,,2340,0,2340,0
,,,,,,,,,,,1447.29,831.55,,,,,1005.89,815.68,,,,,458.18,788.04,509.34,770.13,537.25,762.97,550.25,759.5,817.12,734.64,580.06,730.72,516.57,710.59,860.85,698.79,688.27,781,821.48,786.05,810.01,784.19,1519.49,791.67,,,761.59,803.77,,,,,,,,,2360,0,2360,0
,,,,,,,,,,,1459.27,831.59,,,,,,,,,,,464.21,788.23,516.24,770.16,540.69,762.99,557.34,759.62,823.9,734.96,584.2,730.78,520.21,710.76,880.44,697.17,698.58,780.77,825.4,786.28,813.14,784.94,1534.87,790.97,,,764.62,803.64,,,,,,,,,2380,0,2380,0
,,,,,,,,,,,1468.26,831.47,,,,,,,,,,,470.25,788.39,519.69,769.99,544.13,762.93,560.88,759.64,829.92,735.12,588.33,730.79,523.84,710.91,906.92,698.79,705.45,780.49,833.22,786.88,816.27,785.36,1541.02,790.49,,,773.69,802.96,,,,,,,,,2400,0,2400,0
,,,,,,,,,,,1501.22,831.86,,,,,,,,,,,476.29,788.53,523.15,769.96,551.02,762.85,564.43,759.62,835.93,735.3,592.47,730.86,527.48,711.04,932.69,705.32,708.89,780.43,837.13,787.11,822.54,785.76,1553.33,790.32,,,776.71,802.76,,,,,,,,,2420,0,2420,0
,,,,,,,,,,,1516.2,832.1,,,,,,,,,,,479.3,788.59,526.6,769.86,554.46,762.99,567.97,759.55,841.94,735.67,596.61,730.9,531.12,711.11,939.89,708.25,712.33,780.53,852.77,787.79,825.67,786,1562.56,790.45,,,779.74,802.62,,,,,,,,,2440,0,2440,0
,,,,,,,,,,,1528.18,832.1,,,,,,,,,,,488.36,788.73,530.05,769.68,557.9,763.03,571.51,759.39,847.95,736.66,600.75,730.88,534.76,711.08,945.89,709.67,722.63,780.48,864.51,789.29,831.93,786.86,1574.86,790.49,,,788.81,802.31,,,,,,,,,2460,0,2460,0
,,,,,,,,,,,1534.17,832.27,,,,,,,,,,,500.43,788.85,533.5,769.64,561.34,763.12,575.06,759.29,853.96,737.4,604.89,730.71,538.4,711.09,951.89,710.9,729.51,780.56,872.33,790.04,835.06,786.99,1581.02,790.48,,,797.88,802.19,,,,,,,,,2480,0,2480,0
